Gene	Adj. R Squared	Slope	p-value
rno-miR-301b-3p	0.800419498	0.19541051	5.25E-05
rno-miR-3561-3p	0.730975472	0.064671424	0.00024148
rno-miR-125a-3p	0.683787202	0.124924115	0.000554551
rno-miR-3558-3p	0.589017501	0.052401307	0.002163454
rno-miR-761	0.581530972	0.028065143	0.002377883
rno-miR-191a-5p	0.580262804	1.149461333	0.002415877
rno-miR-3580-5p	0.560337192	0.040084868	0.003081642
rno-miR-208a-3p	0.555781814	0.001686452	0.003253306
rno-miR-290	0.555781814	0.001686452	0.003253306
rno-miR-3583-3p	0.555781814	0.001686452	0.003253306
rno-miR-3594-3p	0.555781814	0.001686452	0.003253306
rno-miR-466c-5p	0.555781814	0.001686452	0.003253306
rno-miR-511-5p	0.555781814	0.001686452	0.003253306
rno-miR-544-3p	0.555781814	0.001686452	0.003253306
rno-miR-598-5p	0.555781814	0.001686452	0.003253306
rno-miR-628	0.555781814	0.001686452	0.003253306
rno-miR-291a-3p	0.54881052	0.047082313	0.003531228
rno-miR-3573-5p	0.523498538	0.061905502	0.004710642
rno-miR-369-3p	0.492024442	-9.427863494	0.00661503
rno-miR-327	0.485373069	0.04970122	0.007089845
rno-miR-208b-3p	0.482513424	0.078100045	0.007302526
rno-miR-376c-3p	0.475139444	-0.562629945	0.007875612
rno-miR-107-3p	0.436219798	-15.07726077	0.011561278
rno-miR-20b-3p	0.428383798	0.029964737	0.0124553
rno-miR-3568	0.422841906	0.031012562	0.01312207
rno-miR-191b	0.415429781	0.052224261	0.014060616
rno-miR-874-3p	0.414380408	0.078445475	0.014197949
rno-miR-193a-3p	0.402568118	0.057852924	0.015823592
rno-miR-218b	0.400753049	0.038632062	0.016086792
rno-miR-3593-5p	0.400591566	0.206568368	0.016110386
rno-miR-17-1-3p	0.397825702	0.035700958	0.016519077
rno-miR-568	0.389444067	0.080660605	0.017811571
rno-miR-207	0.389275556	0.021774915	0.01783841
rno-miR-3551-5p	0.386005303	0.04757694	0.018366089
rno-miR-3584-3p	0.378985061	0.058513693	0.019543732
rno-miR-98-5p	0.371357688	-1.11139945	0.020895328
rno-miR-881-3p	0.370987476	0.015704518	0.020962904
rno-miR-465-5p	0.369975521	0.091673878	0.021148568
rno-miR-3589	0.363262988	0.067167348	0.022415946
rno-miR-9b-5p	0.36112634	0.051185024	0.022832701
