Target	Number of miRNAs predicted to target
NFIB	16
NFIA	12
CLOCK	12
ATXN1	11
CREB1	11
ZBTB16	10
PURA	10
GABBR2	10
TGFBR3	9
MAPK10	9
TP53INP2	9
FOXP1	8
DLG2	8
SLC6A1	8
TP53INP1	8
DPYSL2	8
MAPK1	7
BDNF	7
PAM	7
GABRB1	7
TRIB2	7
NPTXR	6
PLCB1	6
GRIA2	6
HTR2A	6
NF1	6
NR4A3	6
SYNM	6
GAD1	6
THRB	6
CLCN3	6
PRKCA	5
RPS6KA5	5
GRK6	5
GRM5	5
KCNJ10	5
RAB11B	5
SDC2	5
ETV5	5
SLC2A1	5
CNR1	5
PIK3IP1	5
WBP1L	5
CCND1	5
CDKN1A	5
HIF1A	4
KCND2	4
VSNL1	4
GNAQ	4
NEGR1	4
XPO1	4
NR3C1	4
SFPQ	4
COL1A2	4
GOSR1	4
HMGCR	4
KLF10	4
RAD23B	4
RNF125	4
ADCY6	4
TFAP2B	4
FKBP5	4
MAPK9	4
SGK1	4
SLC6A3	4
SRSF6	4
CX3CL1	4
DDIT4	4
APP	4
PLP1	4
TXNIP	4
YWHAH	4
FOSB	4
PER2	4
CAPZB	4
GDA	3
GNA11	3
GNAI1	3
GRIA1	3
IL10RA	3
GDNF	3
IGF1R	3
PLCG1	3
PRKCE	3
KLF9	3
MPDZ	3
NKX2-1	3
NTRK2	3
PDK4	3
CHRNA7	3
RAN	3
SF3B1	3
SPTBN2	3
YWHAG	3
DNAJB1	3
FOS	3
GRIN1	3
ARC	3
MOG	3
BCL2L1	3
PER1	3
SNCB	3
NR2F1	3
CTNND2	3
NRP1	2
HOMER1	2
RGS4	2
MAP1B	2
NET1	2
NUDT4	2
RAB31	2
RTN1	2
AFF1	2
CTNNB1	2
NR4A1	2
CAMK2A	2
CHRNB2	2
ERRFI1	2
GABRG2	2
GADD45G	2
GRINA	2
KLF15	2
MAPRE3	2
NACC1	2
NSF	2
OLFM1	2
PCSK2	2
SCHIP1	2
SESN1	2
SRSF7	2
VAMP3	2
CNP	2
GABBR1	2
GLUL	2
GNAO1	2
ATP6V1E1	2
NOG	2
SEPT4	2
SYT11	2
CRTAM	2
EGR1	2
EGR2	2
ENPP2	2
GNB1	2
TUBB2B	2
YWHAB	2
GABRG1	1
TFRC	1
PPP3R2	1
CLIC4	1
CACNA1D	1
TACR1	1
CHRNA4	1
LPAR1	1
LRCH4	1
SMARCD1	1
CALM2	1
UBE2V2	1
CXCL12	1
FZD9	1
HTRA1	1
ITM2A	1
LIMS1	1
MAOB	1
NRGN	1
PDYN	1
PKM	1
PMP22	1
PPP2CB	1
CACNG1	1
CALB2	1
SPARC	1
SPSB1	1
TIMP1	1
AKR1B1	1
ERBB3	1
ABAT	1
GFAP	1
GRB2	1
HSPA5	1
IGF2	1
MAL	1
MAPK3	1
NEFH	1
NELL2	1
NFKBIA	1
PRDX6	1
SLC6A4	1
STX1A	1
TUBA4A	1
CARTPT	1
CDK5	1
COX6C	1
DRD2	1
DUSP6	1
APOE	1
LENG8	1
MAP2K1	1
NEFM	1
NKX2-2	1
PPM1B	1
PTPRU	1
STMN2	1
TAC1	1
TUBA1A	1
PDP1	0
SCG2	0
TMED10	0
CCR5	0
DBH	0
DLX1	0
LAMP1	0
NDUFS1	0
PENK	0
BLNK	0
SNCA	0
SOD2	0
SORCS3	0
SOX10	0
CLDN5	0
FN1	0
GAPDH	0
HSPA1B	0
IGFBP2	0
JUN	0
ASAH1	0
KCNMA1	0
ATP1A3	0
NAPA	0
ACTB	0
NPY	0
P2RY14	0
PRDX2	0
SOX2	0
TARSL2	0
TKT	0
TRIM59	0
TULP1	0
VDAC1	0
CLPTM1	0
COA4	0
COPS3	0
CRHR1	0
DRD4	0
EHMT1	0
ENO2	0
ENO3	0
APOD	0
GARS	0
GPR87	0
GRIK1	0
GRIK5	0
GRIN2C	0
HMOX1	0
HOMER2	0
HSPA1A	0
HSPB1	0
ART3	0
HTR1B	0
IFT88	0
JUNB	0
LOC360443	0
LOC497675	0
LOC497800	0
LOC497801	0
LOC497844	0
LOC500643	0
LTF	0
LYZ2	0
ATP5F1B	0
MAG	0
ATP6V1B2	0
MDH2	0
MPZ	0
MRPL48	0
MST1	0
MT1	0
NDUFV2	0
NEFL	0
NT5M	0
OPRD1	0
OPRM1	0
PARP4	0
PCP4	0
PGK1	0
PGLYRP1	0
PLA2G1B	0
PPIA	0
BTG3_PREDICTED	0
PRKCG	0
PRLHR	0
PSMB4	0
QDPR	0
RACK1	0
RFLNB	0
RGD1559962	0
RGD1561683	0
RGD1563791	0
RGD1564351	0
RGD1564600_PREDICTED	0
RGD1565368	0
RGD1565656	0
RPL3	0
RPSA	0
RT1-DA	0
SERPINA3N	0
CALCA	0
SMN1	0
SMPD2	0
SMPDL3A	0
STXBP2	0
SYN1	0
SYN2	0
CAPNS1	0
TACSTD2	0
TAGLN3	0
TH	0
TMA16	0
TNFRSF9	0
TOMM70	0
TPI1	0
CAR2	0
TUBGCP2	0
UCHL1	0
UQCRC2	0
ZMYM1	0
CCK	0
CCN2	0
CCR1	0
ADCY8	0
CFL1	0
CKB	0
CLTB	0
COX1	0
CRABP1	0
CRABP2	0
CRYAB	0
CRYM	0
CTLA2A	0
ALB	0
CXCR4	0
ALDOC	0
DRD3	0
ENO1	0
ANIA4	0
FAAHL	0
FABP7	0
