Target	# of miRNAs leading to upregulation	# of miRNAs leading to downregulation	Total Impact
A1CF	1	-2	-1
AADACL3	1	-1	0
AADACL4	1	0	1
AAGAB	1	-1	0
AAK1	3	-7	-4
AARD	1	-1	0
AARS	0	-1	-1
AARS2	1	-1	0
AASS	0	-1	-1
AATK	0	-1	-1
ABAT	0	-1	-1
ABCA1	2	-4	-2
ABCA10	1	0	1
ABCA12	1	-3	-2
ABCA13	1	-1	0
ABCA2	0	-1	-1
ABCA3	0	-1	-1
ABCA5	1	0	1
ABCB1	0	-1	-1
ABCB5	1	0	1
ABCB6	0	-1	-1
ABCB7	0	-2	-2
ABCB8	2	0	2
ABCB9	0	-2	-2
ABCC1	1	0	1
ABCC10	0	-1	-1
ABCC12	1	-1	0
ABCC4	0	-1	-1
ABCC5	1	-1	0
ABCC9	0	-1	-1
ABCD2	0	-4	-4
ABCD3	0	-1	-1
ABCE1	1	-1	0
ABCF3	0	-1	-1
ABCG1	1	-3	-2
ABCG2	1	-1	0
ABCG4	2	-6	-4
ABCG8	1	0	1
ABHD10	1	0	1
ABHD12B	1	0	1
ABHD13	1	-4	-3
ABHD14A	0	-1	-1
ABHD14B	1	0	1
ABHD15	1	0	1
ABHD17A	1	0	1
ABHD17B	0	-1	-1
ABHD17C	0	-1	-1
ABHD2	2	-4	-2
ABHD3	1	-1	0
ABHD4	0	-2	-2
ABHD5	1	-3	-2
ABHD6	0	-1	-1
ABI1	0	-1	-1
ABI2	2	-3	-1
ABL1	0	-1	-1
ABL2	0	-8	-8
ABLIM1	0	-1	-1
ABLIM3	0	-4	-4
ABR	0	-1	-1
ABRA	0	-1	-1
ABRACL	1	0	1
ABTB1	0	-2	-2
AC000003.2	0	-1	-1
AC002451.1	0	-1	-1
AC002472.13	1	0	1
AC004466.1	0	-1	-1
AC004899.1	1	0	1
AC005003.1	0	-1	-1
AC005609.1	1	0	1
AC006486.1	1	0	1
AC007040.11	1	0	1
AC007375.1	1	-2	-1
AC007390.5	1	-1	0
AC007405.2	0	-1	-1
AC007461.1	1	0	1
AC010327.2	1	0	1
AC010336.1	3	-1	2
AC010441.1	1	-1	0
AC011484.1	1	0	1
AC011897.1	1	-1	0
AC012123.1	0	-1	-1
AC012215.1	2	-4	-2
AC016559.1	1	0	1
AC020907.1	0	-1	-1
AC023590.1	0	-1	-1
AC026703.1	0	-2	-2
AC068987.1	0	-5	-5
AC073610.5	0	-1	-1
AC090186.1	1	0	1
AC093157.1	0	-1	-1
AC093802.1	1	0	1
AC105020.1	1	-1	0
AC106017.1	1	-2	-1
AC107021.1	0	-1	-1
AC117395.1	0	-1	-1
AC129492.6	1	0	1
AC132186.1	1	-1	0
AC137932.1	1	0	1
AC138655.1	1	-1	0
AC140061.12	0	-1	-1
ACACA	1	-1	0
ACACB	0	-2	-2
ACAD10	1	0	1
ACAD9	0	-1	-1
ACADM	0	-1	-1
ACADSB	0	-1	-1
ACAN	1	0	1
ACAP2	1	-2	-1
ACBD5	0	-3	-3
ACE2	0	-1	-1
ACER2	1	-4	-3
ACHE	1	0	1
ACIN1	1	-2	-1
ACKR3	2	0	2
ACKR4	1	0	1
ACN9	1	-1	0
ACO1	0	-4	-4
ACOT11	0	-2	-2
ACOT13	1	0	1
ACP1	1	0	1
ACP2	0	-1	-1
ACP6	1	-1	0
ACPL2	0	-1	-1
ACPP	0	-1	-1
ACPT	0	-1	-1
ACSBG1	1	-2	-1
ACSL1	0	-4	-4
ACSL3	1	-1	0
ACSL4	0	-4	-4
ACSL5	1	0	1
ACSL6	1	-5	-4
ACSM2A	1	0	1
ACSM5	1	0	1
ACSS1	0	-1	-1
ACSS3	1	0	1
ACTA2	0	-1	-1
ACTC1	2	-2	0
ACTG1	0	-2	-2
ACTN1	0	-1	-1
ACTN2	0	-2	-2
ACTN4	3	-2	1
ACTR1A	2	-4	-2
ACTR3	1	-2	-1
ACVR1	1	-2	-1
ACVR1B	0	-4	-4
ACVR1C	1	-5	-4
ACVR2A	1	-9	-8
ACVR2B	3	-11	-8
ADAD1	0	-1	-1
ADAM10	0	-3	-3
ADAM11	0	-2	-2
ADAM12	3	-3	0
ADAM15	0	-1	-1
ADAM17	0	-2	-2
ADAM19	1	-2	-1
ADAM22	1	-3	-2
ADAM23	1	-3	-2
ADAM32	0	-1	-1
ADAM7	0	-1	-1
ADAM9	0	-2	-2
ADAMDEC1	1	0	1
ADAMTS1	2	-1	1
ADAMTS10	0	-2	-2
ADAMTS13	1	-1	0
ADAMTS14	0	-2	-2
ADAMTS15	1	-2	-1
ADAMTS16	1	-1	0
ADAMTS17	1	-2	-1
ADAMTS18	0	-4	-4
ADAMTS19	0	-1	-1
ADAMTS2	0	-2	-2
ADAMTS20	0	-3	-3
ADAMTS3	0	-3	-3
ADAMTS4	1	0	1
ADAMTS5	4	-6	-2
ADAMTS7	0	-1	-1
ADAMTS8	0	-1	-1
ADAMTS9	0	-1	-1
ADAMTSL1	1	-2	-1
ADAMTSL3	0	-3	-3
ADAMTSL4	1	0	1
ADAP1	1	-1	0
ADAP2	1	-1	0
ADARB1	0	-2	-2
ADARB2	2	-3	-1
ADAT2	1	-3	-2
ADCY2	0	-4	-4
ADCY3	0	-3	-3
ADCY5	2	-1	1
ADCY6	1	-3	-2
ADCY7	0	-1	-1
ADCY9	1	-3	-2
ADCYAP1	1	-6	-5
ADCYAP1R1	1	-6	-5
ADD1	0	-1	-1
ADD2	2	-4	-2
ADGB	1	0	1
ADH5	1	0	1
ADI1	1	0	1
ADIPOR1	0	-1	-1
ADIPOR2	0	-5	-5
