Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Wnt/?-catenin Signaling	13.4	0.393	-0.525	"ACVR1B,ACVR1C,ACVR2A,ACVR2B,AKT3,APPL1,AXIN2,BMPR2,CCND1,CDH2,CDH5,CREBBP,CSNK1A1,CSNK1D,CSNK1G1,CSNK1G3,CSNK2A1,CTNNB1,DKK2,DKK3,FRAT1,FZD3,FZD4,FZD5,FZD8,FZD9,GNAQ,GSK3B,HNF1A,KREMEN1,LRP6,MAP3K7,NLK,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,RARA,RARB,RPS27A,SFRP5,SOX1,SOX11,SOX12,SOX13,SOX17,SOX21,SOX4,SOX5,SOX6,SOX9,TCF4,TCF7,TCF7L1,TGFBR3,TLE1,UBD,WNT1,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT9A,WNT9B"
Molecular Mechanisms of Cancer	13.1	0.304	NaN	"ADCY2,ADCY3,ADCY5,AKT3,APH1A,ARHGEF11,ARHGEF17,ARHGEF2,ARHGEF5,ATM,BCL2L11,BMP10,BMP2,BMP3,BMPR2,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CASP10,CASP8,CBL,CCND1,CCND2,CCNE2,CDC42,CDK10,CDK11B,CDK19,CDK5,CDK6,CDK8,CDK9,CDKN1A,CREBBP,CRK,CTNNA2,CTNNB1,CTNND1,E2F1,E2F2,E2F3,E2F5,E2F7,FZD3,FZD4,FZD5,FZD8,FZD9,GAB1,GAB2,GNA12,GNAI2,GNAI3,GNAQ,GSK3B,HHAT,HIPK2,IHH,IRS1,ITGB1,JAK2,LRP6,MAP2K6,MAP3K7,MAPK1,MAPK10,MAPK14,MAPK8,NF1,NFKBIB,NFKBIE,NLK,NRAS,PA2G4,PAK2,PAK5,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,RALA,RAP1A,RAP2B,RASA1,RB1,RBPJ,RHOA,RHOBTB2,RHOH,RND1,SMAD1,SMAD2,SMAD3,SMAD5,SMAD6,SMAD7,SOS1,SYNGAP1,TCF4,WNT1,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT9A,WNT9B,XIAP"
Factors Promoting Cardiogenesis in Vertebrates	11.2	0.387	-1.722	"ACVR1B,ACVR1C,ACVR2A,ACVR2B,BMP10,BMP2,BMP3,BMPR2,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CCND1,CREB1,CREB3,CREB5,CREBBP,CTNNB1,FZD3,FZD4,FZD5,FZD8,FZD9,GJA5,GSK3B,HNF1A,LRP6,MAP3K7,MAPK10,MAPK14,MAPK8,MEF2C,NKX2-5,NODAL,NOG,NPPA,PLCB1,PLCB4,PRKCB,PRKD1,RHOA,ROCK1,ROCK2,SMAD1,SMAD2,SMAD5,TCF4,TCF7,TCF7L1,TGFBR3,WNT1,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT9A,WNT9B"
Cardiac Hypertrophy Signaling (Enhanced)	10.1	0.269	-2.976	"ACVR1B,ACVR1C,ACVR2A,ACVR2B,ADCY2,ADCY3,ADCY5,ADRA1D,ADRA2A,AKAP13,AKT3,APEX1,BMPR2,CACNA1C,CALM1 (includes others),CAMK2A,CAMK2B,CAMK2D,CAMK2G,CNTF,CTNNB1,DIAPH2,DIAPH3,EDA,EDN1,EIF2B2,EIF4E,FGF1,FGF13,FGF17,FGF2,FICD,FZD3,FZD4,FZD5,FZD8,FZD9,GDPD1,GHR,GNA12,GNAI2,GNAI3,GNAQ,GSK3B,HDAC5,HDAC8,HSPB7,IFNLR1,IL11,IL12B,IL15RA,IL17A,IL17D,IL1F10,IL22RA2,IL2RA,IL2RB,ITGB1,JAK2,MAP2K6,MAP3K12,MAP3K2,MAP3K3,MAP3K7,MAP3K9,MAPK1,MAPK10,MAPK14,MAPK8,MEF2A,MEF2C,MKNK2,MPPED2,NAPEPLD,NFAT5,NFATC2,NFATC3,NKX2-5,NPPA,NRAS,PDE3A,PDE3B,PDE4D,PDE5A,PDE6C,PDE7A,PDE7B,PDE8B,PDE9A,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PPP3R1,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,PRKG1,PTEN,PTGS2,RALA,RAP1A,RAP2B,RHOA,ROCK1,ROCK2,RPS6KA5,RPS6KB2,SRF,STAT3,TG,TGFBR3,TNFSF10,TNFSF11,TNFSF13,TNFSF9,WNT1,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT9A,WNT9B"
Hepatic Fibrosis Signaling Pathway	9.77	0.285	-1.91	"ACVR1B,ACVR1C,ACVR2A,ACVR2B,AKT3,BAMBI,BMPR2,BRD4,CACNA1C,CALM1 (includes others),CCDC88A,CCND1,CDC42,CNR1,COL3A1,CREB1,CREB3,CREB5,CREBBP,CTNNB1,EDN1,FGF2,FTL,FZD3,FZD4,FZD5,FZD8,FZD9,GLIS2,GNAI2,GNAI3,GSK3B,HNF1A,IL17A,IL1F10,IL1RAPL1,IL1RN,IL36RN,IRAK2,ITGB1,JAK2,KLF9,LRP6,MAP2K6,MAP3K7,MAPK1,MAPK10,MAPK14,MAPK8,MYLK2,NCF1,NFKBIB,NFKBIE,NOX1,NRAS,PDGFA,PDGFB,PDGFRA,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPARG,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,PTEN,RALA,RAP1A,RAP2B,RHOA,RHOBTB2,RHOH,RND1,ROCK1,ROCK2,RPS6KB2,SMAD2,SMAD3,SMAD7,SNAI1,SOS1,SP1,STAT3,SUCNR1,TCF4,TCF7,TCF7L1,TGFBR3,VCAM1,VEGFA,WNT1,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT9A,WNT9B,YAP1"
Synaptogenesis Signaling Pathway	9.45	0.295	-2.68	"ADCY2,ADCY3,ADCY5,AKT3,AP2B1,AP2M1,ARPC4,ARPC5,BDNF,CACNA2D1,CACNB4,CACNG1,CADM1,CALM1 (includes others),CAMK2A,CAMK2B,CAMK2D,CAMK2G,CDC42,CDH11,CDH13,CDH18,CDH2,CDH5,CDK5,CLASP2,CNTNAP1,CNTNAP2,CREB1,CREB3,CREB5,CREBBP,CRK,CTNNB1,CTNND1,DAB1,EFNA2,EFNA4,EFNB2,EPHA4,EPHA5,EPHA7,EPHA8,GOSR1,GRIA1,GRIN2B,GRINA,GRM5,GSK3B,HCK,ITSN1,LIMK1,MAPK1,MAPK14,MARCKS,NAP1L1,NAPG,NECTIN1,NRAS,NRXN3,PAFAH1B1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,RAB5B,RALA,RAP1A,RAP2B,RELN,RHOA,RPS6KB2,SHE,SNAP25,SNCB,SOS1,STXBP1,STXBP5,SYNGAP1,SYT1,SYT10,SYT2,THBS3,TIAM1,VLDLR,VTI1A"
HOTAIR Regulatory Pathway	8.92	0.35	-2.292	"AGO1,AGO2,AGO3,AGO4,AKT3,ATG3,ATXN1,BRD4,CDKN1A,CREBBP,CTNNB1,DZIP3,EED,ESR1,FOXA1,H3-3A/H3-3B,HNF1A,HOXD10,JAM2,JARID2,KMT2A,KMT2C,MMP14,MMP15,MMP16,MMP19,MMP24,MTF2,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PTEN,RBBP7,RCOR1,REST,ROCK1,ROCK2,SRF,STAT3,STK38,SUZ12,TCF4,TCF7,TCF7L1,WNT1,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT9A,WNT9B,XIAP,YY1"
Axonal Guidance Signaling	8.47	0.258	NaN	"ABLIM3,ADAM10,ADAMDEC1,ADAMTS1,ADAMTS18,ADAMTS20,ADAMTS3,ADAMTS4,AKT3,ARHGEF11,ARPC4,ARPC5,BDNF,BMP10,BMP2,BMP3,CDC42,CDK5,CFL2,CRK,DCC,DPYSL2,DPYSL5,ECE2,ECEL1,EFNA2,EFNA4,EFNB2,EGF,EIF4E,EPHA4,EPHA5,EPHA7,EPHA8,FZD3,FZD4,FZD5,FZD8,FZD9,GLIS2,GNA12,GNAI2,GNAI3,GNAQ,GNG10,GNG12,GNG13,GNG4,GSK3B,HHIP,ITGB1,ITSN1,LIMK1,LNPEP,MAPK1,MMP14,MMP15,MMP16,MMP24,MYSM1,NFAT5,NFATC2,NFATC3,NRAS,NRP2,NTN1,NTNG1,NTRK3,PAK2,PAK5,PAPPA,PAPPA2,PDGFA,PDGFB,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PLXNA2,PLXNB2,PLXNC1,PPP3R1,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,PXN,RALA,RAP1A,RAP2B,RASA1,RASSF5,RHOA,RND1,ROBO1,ROCK1,ROCK2,SDC2,SEMA4F,SEMA4G,SEMA6A,SEMA6D,SEMA7A,SHANK2,SOS1,SRGAP1,SRGAP3,TUBA4A,UNC5B,UNC5D,VEGFA,WNT1,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT9A,WNT9B"
Protein Kinase A Signaling	8.04	0.266	-0.655	"ACP1,ADCY2,ADCY3,ADCY5,AKAP11,AKAP13,AKAP9,APEX1,CALM1 (includes others),CAMK2A,CAMK2B,CAMK2D,CAMK2G,CREB1,CREB3,CREB5,CREBBP,CTNNB1,DCC,DUSP15,DUSP16,DUSP22,DUSP5,DUSP9,EPM2A,EYA3,FICD,GDPD1,GNAI2,GNAI3,GNAQ,GNG10,GNG12,GNG13,GNG4,GRK7,GSK3B,H1-10,H3-3A/H3-3B,HHAT,HNF1A,IHH,KDELR1,KDELR3,MAPK1,MPPED2,MYLK2,NAPEPLD,NFAT5,NFATC2,NFATC3,NFKBIB,NFKBIE,NTN1,PALM2AKAP2,PDE3A,PDE3B,PDE4D,PDE5A,PDE6C,PDE7A,PDE7B,PDE8B,PDE9A,PGP,PHKG2,PLCB1,PLCB4,PPP1CB,PPP1CC,PPP1R1B,PPP1R3C,PPP3R1,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,PTEN,PTGS2,PTP4A1,PTPN22,PTPN3,PTPN4,PTPN9,PTPRB,PTPRD,PTPRG,PTPRH,PTPRJ,PTPRT,PTPRZ1,PXN,RAP1A,RHOA,ROCK1,ROCK2,SMAD3,TCF4,TCF7,TCF7L1,TNNI1,UBASH3B,YWHAG"
Ovarian Cancer Signaling	8.01	0.353	-0.626	"AKT3,CCND1,CTNNB1,E2F1,EDN1,EGF,EGFR,FZD3,FZD4,FZD5,FZD8,FZD9,GSK3B,HNF1A,LHCGR,MAPK1,MSH6,NRAS,PA2G4,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PTEN,PTGS1,PTGS2,RALA,RAP1A,RAP2B,RB1,RPS6KB2,TCF4,TCF7,TCF7L1,VEGFA,WNT1,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT9A,WNT9B"
