Study	Library Type	Library Type (Salmon)	SRA Sample ID	Treatment Group	Raw Reads (FASTQ)	Trimmed Reads (FASTQ)	Total Percent Mapped (SAM)		
Carpenter	Paired End	ISR	SRS5770730	C28	55407998	43973300	99.10%		
Carpenter	Paired End	ISR	SRS5770731	C28	54458820	43496502	99.50%		
Carpenter	Paired End	ISR	SRS5770732	C28	45476699	36715355	99.49%		
Carpenter	Paired End	ISR	SRS5770733	C28	44908276	34030859	99.53%		
Carpenter	Paired End	ISR	SRS5770734	C28	39606143	30092401	99.31%		
Carpenter	Paired End	ISR	SRS5770735	C28	77932075	63418827	99.29%		
Carpenter	Paired End	ISR	SRS5770736	S28	51984014	41960542	99.15%		
Carpenter	Paired End	ISR	SRS5770737	S28	68053117	54595390	99.51%		
Carpenter	Paired End	ISR	SRS5770738	S28	65690977	52679533	99.50%		
Carpenter	Paired End	ISR	SRS5770739	S28	61730204	49813305	99.47%		
Carpenter	Paired End	ISR	SRS5770740	S28	47981128	38983195	99.30%		
Carpenter	Paired End	ISR	SRS5770741	S28	50668173	40780066	99.16%		
Walker	Single End	SR	SRS2926555	C30	29383672	24774659	99.63%		
Walker	Single End	SR	SRS2926557	S30	33387920	28488717	99.72%		
Walker	Single End	SR	SRS2926558	S30	31377243	24801862	99.70%		
Walker	Single End	SR	SRS2926560	S30	28358218	23976184	99.70%		
Walker	Single End	SR	SRS2926561	C30	29268064	24653862	99.69%		
Walker	Single End	SR	SRS2926565	C30	36495580	29756022	99.75%		
Walker	Single End	SR	SRS2926566	S30	43226652	36915674	99.74%		
Walker	Single End	SR	SRS2926568	C30	35410598	27947484	99.72%		
Walker	Single End	SR	SRS2926571	S30	30327671	24746709	99.75%		
Walker	Single End	SR	SRS2926574	C30	39426318	33638428	99.74%		
Walker	Single End	SR	SRS2926576	S30	39298699	33516259	99.78%		
Powell	Single End	U	SRS6085261	C1	48451509	36561268	96.55%		
Powell	Single End	U	SRS6085262	C21	53892470	40560026	96.12%		
Powell	Single End	U	SRS6085267	C1	60147733	42663005	96.02%		
Powell	Single End	U	SRS6085268	C1	54742850	38696623	94.89%		
Powell	Single End	U	SRS6085269	C21	44878332	32090839	93.94%		
Powell	Single End	U	SRS6085272	C21	73551842	52404156	94.22%		
