Human Gene Symbol	Tissue	Term	Group1	Group2	Null Value	Estimate	Lower Confidence Interval	Upper Confidence Interval	Adjusted P Value	Significance
CARTPT	BRN_ACC	Sex	Female	Male	0.0000	-0.3202	-1.7708	1.1303	0.6610	ns
CARTPT	BRN_AMY	Sex	Female	Male	0.0000	-8.0997	-26.6784	10.4791	0.3860	ns
CARTPT	BRN_CAU	Sex	Female	Male	0.0000	0.7778	0.0100	1.5456	0.0472	*
CARTPT	BRN_CB_a	Sex	Female	Male	0.0000	-0.2267	-0.6143	0.1609	0.2480	ns
CARTPT	BRN_CTX_a	Sex	Female	Male	0.0000	4.2187	-22.1512	30.5885	0.7510	ns
CARTPT	BRN_HIPP	Sex	Female	Male	0.0000	2.6599	-10.3048	15.6246	0.6840	ns
CARTPT	BRN_HYP	Sex	Female	Male	0.0000	231.5200	-98.7697	561.8097	0.1670	ns
CARTPT	BRN_NAC	Sex	Female	Male	0.0000	-6.4456	-34.8276	21.9364	0.6530	ns
CARTPT	BRN_PTRY	Sex	Female	Male	0.0000	0.7375	-6.5588	8.0337	0.8410	ns
CARTPT	BRN_PUT	Sex	Female	Male	0.0000	-0.0283	-0.9480	0.8914	0.9510	ns
CARTPT	BRN_SN	Sex	Female	Male	0.0000	0.1999	-0.6301	1.0300	0.6300	ns
CARTPT	BRN_SPC	Sex	Female	Male	0.0000	-6.5289	-14.4726	1.4148	0.1060	ns
CELF6+	BRN_ACC	Sex	Female	Male	0.0000	-1.1837	-5.1694	2.8020	0.5550	ns
CELF6+	BRN_AMY	Sex	Female	Male	0.0000	-0.5668	-2.9616	1.8280	0.6370	ns
CELF6+	BRN_CAU	Sex	Female	Male	0.0000	0.7750	-0.8805	2.4305	0.3540	ns
CELF6+	BRN_CB_a	Sex	Female	Male	0.0000	1.7578	-2.9837	6.4994	0.4630	ns
CELF6+	BRN_CTX_a	Sex	Female	Male	0.0000	2.1857	-1.1096	5.4810	0.1910	ns
CELF6+	BRN_HIPP	Sex	Female	Male	0.0000	0.4131	-2.0236	2.8499	0.7360	ns
CELF6+	BRN_HYP	Sex	Female	Male	0.0000	7.0681	-3.3861	17.5224	0.1820	ns
CELF6+	BRN_NAC	Sex	Female	Male	0.0000	-0.5140	-5.1650	4.1370	0.8270	ns
CELF6+	BRN_PTRY	Sex	Female	Male	0.0000	-7.8769	-13.6270	-2.1268	0.0077	**
CELF6+	BRN_PUT	Sex	Female	Male	0.0000	0.2808	-1.5274	2.0889	0.7580	ns
CELF6+	BRN_SN	Sex	Female	Male	0.0000	-0.3971	-4.1404	3.3461	0.8320	ns
CELF6+	BRN_SPC	Sex	Female	Male	0.0000	0.2579	-2.1314	2.6471	0.8300	ns
HAPLN2	BRN_ACC	Sex	Female	Male	0.0000	-22.9255	-61.4854	15.6345	0.2390	ns
HAPLN2	BRN_AMY	Sex	Female	Male	0.0000	16.5378	-1.9814	35.0569	0.0791	ns
HAPLN2	BRN_CAU	Sex	Female	Male	0.0000	18.1111	-0.0239	36.2461	0.0503	ns
HAPLN2	BRN_CB_a	Sex	Female	Male	0.0000	9.2369	-0.0544	18.5282	0.0513	ns
HAPLN2	BRN_CTX_a	Sex	Female	Male	0.0000	3.1989	-9.5893	15.9871	0.6200	ns
HAPLN2	BRN_HIPP	Sex	Female	Male	0.0000	21.0600	-31.5003	73.6203	0.4270	ns
HAPLN2	BRN_HYP	Sex	Female	Male	0.0000	-11.8669	-52.0080	28.2742	0.5580	ns
HAPLN2	BRN_NAC	Sex	Female	Male	0.0000	7.4506	-6.5829	21.4842	0.2940	ns
HAPLN2	BRN_PTRY	Sex	Female	Male	0.0000	0.2349	-0.0259	0.4956	0.0770	ns
HAPLN2	BRN_PUT	Sex	Female	Male	0.0000	-19.0651	-64.4043	26.2742	0.4040	ns
HAPLN2	BRN_SN	Sex	Female	Male	0.0000	-29.8457	-108.0780	48.3867	0.4460	ns
HAPLN2	BRN_SPC	Sex	Female	Male	0.0000	229.7139	-0.2114	459.6392	0.0502	ns
NTS	BRN_ACC	Sex	Female	Male	0.0000	0.0620	-0.1487	0.2728	0.5580	ns
NTS	BRN_AMY	Sex	Female	Male	0.0000	-0.0703	-7.9372	7.7967	0.9860	ns
NTS	BRN_CAU	Sex	Female	Male	0.0000	4.4538	-0.7089	9.6164	0.0899	ns
NTS	BRN_CB_a	Sex	Female	Male	0.0000	-1.1188	-3.5560	1.3185	0.3630	ns
NTS	BRN_CTX_a	Sex	Female	Male	0.0000	-0.0017	-0.0406	0.0371	0.9290	ns
NTS	BRN_HIPP	Sex	Female	Male	0.0000	10.1664	-4.2284	24.5611	0.1630	ns
NTS	BRN_HYP	Sex	Female	Male	0.0000	-6.5222	-23.7388	10.6944	0.4530	ns
NTS	BRN_NAC	Sex	Female	Male	0.0000	-1.5926	-3.9131	0.7279	0.1760	ns
NTS	BRN_PTRY	Sex	Female	Male	0.0000	63.8589	26.8664	100.8515	0.0009	***
NTS	BRN_PUT	Sex	Female	Male	0.0000	0.1469	-0.1023	0.3962	0.2440	ns
NTS	BRN_SN	Sex	Female	Male	0	5.5988	-23.4106	34.6081	0.6990	ns
NTS	BRN_SPC	Sex	Female	Male	0	-4.8162	-14.5007	4.8683	0.3250	ns
RPS6KA2	BRN_ACC	Sex	Female	Male	0	-0.9642	-7.0946	5.1662	0.7540	ns
RPS6KA2	BRN_AMY	Sex	Female	Male	0	1.7071	-4.3963	7.8105	0.5780	ns
RPS6KA2	BRN_CAU	Sex	Female	Male	0	2.5656	-2.7746	7.9059	0.3420	ns
RPS6KA2	BRN_CB_a	Sex	Female	Male	0	1.9352	-1.4283	5.2986	0.2550	ns
RPS6KA2	BRN_CTX_a	Sex	Female	Male	0	-0.6120	-5.0877	3.8638	0.7860	ns
RPS6KA2	BRN_HIPP	Sex	Female	Male	0	0.4213	-4.0909	4.9335	0.8530	ns
RPS6KA2	BRN_HYP	Sex	Female	Male	0	-1.1736	-7.3535	5.0064	0.7060	ns
RPS6KA2	BRN_NAC	Sex	Female	Male	0	1.2331	-4.8512	7.3175	0.6880	ns
RPS6KA2	BRN_PTRY	Sex	Female	Male	0	-7.1038	-11.9503	-2.2574	0.0045	**
RPS6KA2	BRN_PUT	Sex	Female	Male	0	-0.2866	-5.6530	5.0798	0.9150	ns
RPS6KA2	BRN_SN	Sex	Female	Male	0	-3.6100	-13.6879	6.4679	0.4740	ns
RPS6KA2	BRN_SPC	Sex	Female	Male	0	15.0708	-2.8676	33.0093	0.0983	ns
