Human Gene Symbol	Effect	DFn	DFd	F	P Value	Significance	ges
AGK	Sex	1	874	0.6710	0.4130		0.0008
AGK	Tissue	11	874	103.7100	0.0000	*	0.5660
AGK	Sex:Tissue	11	874	0.4240	0.9460		0.0050
AMZ1	Sex	1	874	4.0700	0.0440	*	0.0050
AMZ1	Tissue	11	874	48.1020	0.0000	*	0.3770
AMZ1	Sex:Tissue	11	874	0.6730	0.7650		0.0080
B2M	Sex	1	874	6.7160	0.0100	*	0.0080
B2M	Tissue	11	874	13.0390	0.0000	*	0.1410
B2M	Sex:Tissue	11	874	0.9600	0.4810		0.0120
BCAS1	Sex	1	874	0.4210	0.5170		0.0005
BCAS1	Tissue	11	874	171.5610	0.0000	*	0.6830
BCAS1	Sex:Tissue	11	874	1.2280	0.2630		0.0150
BTG1	Sex	1	874	0.0890	0.7650		0.0001
BTG1	Tissue	11	874	192.5280	0.0000	*	0.7080
BTG1	Sex:Tissue	11	874	0.8190	0.6210		0.0100
CACYBP	Sex	1	874	3.0430	0.0810		0.0030
CACYBP	Tissue	11	874	13.5890	0.0000	*	0.1460
CACYBP	Sex:Tissue	11	874	0.3560	0.9720		0.0040
CARTPT	Sex	1	874	1.5030	0.2210		0.0020
CARTPT	Tissue	11	874	29.8950	0.0000	*	0.2730
CARTPT	Sex:Tissue	11	874	1.8450	0.0430	*	0.0230
CCDC88C	Sex	1	874	2.8390	0.0920		0.0030
CCDC88C	Tissue	11	874	77.3620	0.0000	*	0.4930
CCDC88C	Sex:Tissue	11	874	1.0680	0.3840		0.0130
CELF6+	Sex	1	874	0.0640	0.8010		0.0001
CELF6+	Tissue	11	874	147.5870	0.0000	*	0.6500
CELF6+	Sex:Tissue	11	874	2.2390	0.0110	*	0.0270
EGR2	Sex	1	874	0.0060	0.9360		0.0000
EGR2	Tissue	11	874	12.6530	0.0000	*	0.1370
EGR2	Sex:Tissue	11	874	1.1850	0.2930		0.0150
FABP7	Sex	1	874	0.3500	0.5540		0.0004
FABP7	Tissue	11	874	262.2940	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000605	*	0.7680
FABP7	Sex:Tissue	11	874	0.8070	0.6330		0.0100
FKBP4	Sex	1	874	0.3770	0.5390		0.0004
FKBP4	Tissue	11	874	24.0400	0.0000	*	0.2320
FKBP4	Sex:Tissue	11	874	0.3970	0.9580		0.0050
FTH1	Sex	1	874	2.6600	0.1030		0.0030
FTH1	Tissue	11	874	58.2540	0.0000	*	0.4230
FTH1	Sex:Tissue	11	874	1.5620	0.1050		0.0190
