Human Gene Symbol	Term	Group1	Group2	Null Value	Estimate	Lower Confidence Interval	Upper Confidence Interval	Adjusted P Value	Significance
AGK	Tissue	BRN_ACC	BRN_AMY	0	-2.0284	-5.4298	1.3729	0.7240	ns
AGK	Tissue	BRN_ACC	BRN_CAU	0	-0.0586	-3.1951	3.0779	1.0000	ns
AGK	Tissue	BRN_ACC	BRN_CB_a	0	21.6973	18.5082	24.8864	0.0000	****
AGK	Tissue	BRN_ACC	BRN_CTX_a	0	5.1396	1.9863	8.2929	0.0000	****
AGK	Tissue	BRN_ACC	BRN_HIPP	0	-1.4747	-4.7463	1.7969	0.9470	ns
AGK	Tissue	BRN_ACC	BRN_HYP	0	0.6936	-2.4956	3.8827	1.0000	ns
AGK	Tissue	BRN_ACC	BRN_NAC	0	0.7825	-2.3225	3.8875	1.0000	ns
AGK	Tissue	BRN_ACC	BRN_PTRY	0	8.8645	5.8637	11.8654	0.0000	****
AGK	Tissue	BRN_ACC	BRN_PUT	0	-1.4093	-4.6809	1.8623	0.9610	ns
AGK	Tissue	BRN_ACC	BRN_SN	0	-1.7803	-5.4428	1.8821	0.9120	ns
AGK	Tissue	BRN_ACC	BRN_SPC	0	1.4634	-1.7861	4.7128	0.9470	ns
AGK	Tissue	BRN_AMY	BRN_CAU	0	1.9699	-1.2533	5.1930	0.6920	ns
AGK	Tissue	BRN_AMY	BRN_CB_a	0	23.7257	20.4514	27.0001	0.0000	****
AGK	Tissue	BRN_AMY	BRN_CTX_a	0	7.1680	3.9286	10.4075	0.0000	****
AGK	Tissue	BRN_AMY	BRN_HIPP	0	0.5538	-2.8010	3.9085	1.0000	ns
AGK	Tissue	BRN_AMY	BRN_HYP	0	2.7220	-0.5524	5.9964	0.2160	ns
AGK	Tissue	BRN_AMY	BRN_NAC	0	2.8110	-0.3815	6.0034	0.1480	ns
AGK	Tissue	BRN_AMY	BRN_PTRY	0	10.8930	7.8017	13.9843	0.0000	****
AGK	Tissue	BRN_AMY	BRN_PUT	0	0.6191	-2.7356	3.9739	1.0000	ns
AGK	Tissue	BRN_AMY	BRN_SN	0	0.2481	-3.4888	3.9850	1.0000	ns
AGK	Tissue	BRN_AMY	BRN_SPC	0	3.4918	0.1586	6.8250	0.0306	*
AGK	Tissue	BRN_CAU	BRN_CB_a	0	21.7559	18.7575	24.7542	0.0000	****
AGK	Tissue	BRN_CAU	BRN_CTX_a	0	5.1982	2.2380	8.1584	0.0000	****
AGK	Tissue	BRN_CAU	BRN_HIPP	0	-1.4161	-4.5020	1.6698	0.9400	ns
AGK	Tissue	BRN_CAU	BRN_HYP	0	0.7521	-2.2462	3.7505	1.0000	ns
AGK	Tissue	BRN_CAU	BRN_NAC	0	0.8411	-2.0676	3.7498	0.9990	ns
AGK	Tissue	BRN_CAU	BRN_PTRY	0	8.9231	6.1258	11.7204	0.0000	****
AGK	Tissue	BRN_CAU	BRN_PUT	0	-1.3507	-4.4366	1.7352	0.9570	ns
AGK	Tissue	BRN_CAU	BRN_SN	0	-1.7218	-5.2193	1.7758	0.9040	ns
AGK	Tissue	BRN_CAU	BRN_SPC	0	1.5219	-1.5405	4.5844	0.8980	ns
AGK	Tissue	BRN_CB_a	BRN_CTX_a	0	-16.5577	-19.5736	-13.5418	0.0000	****
AGK	Tissue	BRN_CB_a	BRN_HIPP	0	-23.1720	-26.3114	-20.0326	0.0000	****
AGK	Tissue	BRN_CB_a	BRN_HYP	0	-21.0037	-24.0571	-17.9504	0.0000	****
AGK	Tissue	BRN_CB_a	BRN_NAC	0	-20.9148	-23.8801	-17.9494	0.0000	****
AGK	Tissue	BRN_CB_a	BRN_PTRY	0	-12.8328	-15.6889	-9.9766	0.0000	****
AGK	Tissue	BRN_CB_a	BRN_PUT	0	-23.1066	-26.2460	-19.9672	0.0000	****
AGK	Tissue	BRN_CB_a	BRN_SN	0	-23.4776	-27.0225	-19.9328	0.0000	****
AGK	Tissue	BRN_CB_a	BRN_SPC	0	-20.2340	-23.3503	-17.1176	0.0000	****
AGK	Tissue	BRN_CTX_a	BRN_HIPP	0	-6.6143	-9.7172	-3.5113	0.0000	****
AGK	Tissue	BRN_CTX_a	BRN_HYP	0	-4.4460	-7.4619	-1.4301	0.0001	***
AGK	Tissue	BRN_CTX_a	BRN_NAC	0	-4.3571	-7.2839	-1.4303	0.0001	****
AGK	Tissue	BRN_CTX_a	BRN_PTRY	0	3.7249	0.9089	6.5410	0.0010	***
AGK	Tissue	BRN_CTX_a	BRN_PUT	0	-6.5489	-9.6519	-3.4460	0.0000	****
AGK	Tissue	BRN_CTX_a	BRN_SN	0	-6.9200	-10.4326	-3.4073	0.0000	****
AGK	Tissue	BRN_CTX_a	BRN_SPC	0	-3.6763	-6.7559	-0.5966	0.0056	**
AGK	Tissue	BRN_HIPP	BRN_HYP	0	2.1682	-0.9712	5.3076	0.5040	ns
