Human Gene Symbol	Tissue	Estimated Marginal Mean	Standard Error	DF	Lower Confidence Interval	Upper Confidence Interval	Group
AGK	BRN-ACC	10.8310	0.7163	886	9.4251	12.2368	de
AGK	BRN-AMY	8.8025	0.7512	886	7.3281	10.2769	e
AGK	BRN-CAU	10.7724	0.6349	886	9.5263	12.0185	de
AGK	BRN-CB-a	32.5283	0.6589	886	31.2351	33.8214	a
AGK	BRN-CTX-a	15.9706	0.6426	886	14.7093	17.2318	c
AGK	BRN-HIPP	9.3563	0.6955	886	7.9912	10.7213	de
AGK	BRN-HYP	11.5245	0.6589	886	10.2314	12.8177	de
AGK	BRN-NAC	11.6135	0.6203	886	10.3960	12.8309	de
AGK	BRN-PTRY	19.6955	0.5706	886	18.5756	20.8154	b
AGK	BRN-PUT	9.4216	0.6955	886	8.0566	10.7867	de
AGK	BRN-SN	9.0506	0.8580	886	7.3667	10.7345	de
AGK	BRN-SPC	12.2943	0.6858	886	10.9483	13.6403	d
AMZ1	BRN-ACC	2.6053	0.1147	886	2.3803	2.8304	abc
AMZ1	BRN-AMY	2.9660	0.1203	886	2.7299	3.2020	ab
AMZ1	BRN-CAU	2.0335	0.1016	886	1.8341	2.2330	de
AMZ1	BRN-CB-a	0.8938	0.1055	886	0.6868	1.1008	f
AMZ1	BRN-CTX-a	2.4495	0.1029	886	2.2476	2.6514	bcd
AMZ1	BRN-HIPP	2.0688	0.1113	886	1.8503	2.2873	de
AMZ1	BRN-HYP	2.0727	0.1055	886	1.8657	2.2797	de
AMZ1	BRN-NAC	2.9317	0.0993	886	2.7368	3.1265	a
AMZ1	BRN-PTRY	0.9046	0.0913	886	0.7254	1.0839	f
AMZ1	BRN-PUT	1.9516	0.1113	886	1.7331	2.1701	e
AMZ1	BRN-SN	2.1890	0.1373	886	1.9195	2.4586	cde
AMZ1	BRN-SPC	1.0581	0.1098	886	0.8427	1.2736	f
B2M	BRN-ACC	312.4926	62.5795	886	189.6713	435.3139	b
B2M	BRN-AMY	397.5580	65.6339	886	268.7419	526.3741	b
B2M	BRN-CAU	300.7638	55.4708	886	191.8944	409.6332	b
B2M	BRN-CB-a	181.3967	57.5647	886	68.4175	294.3758	b
B2M	BRN-CTX-a	299.2984	56.1432	886	189.1093	409.4875	b
B2M	BRN-HIPP	356.4471	60.7652	886	237.1867	475.7076	b
B2M	BRN-HYP	445.6397	57.5647	886	332.6606	558.6189	b
