Sample ID	Treatment Group	BWA Mapped Reads	Any Read Count			Read Count >= 2		
			CIRI2	CIRCexplorer2	Both	CIRI2	CIRCexplorer2	Both
SRS6085261	"Isolation, 1d ABS"	37836418	745	561	531	301	153	145
SRS6085262	"Isolation, 21d ABS"	41818651	601	421	384	233	117	110
SRS6085263	"Enrichment, 1d ABS"	28744392	397	297	277	123	58	53
SRS6085264	"Enrichment, 21d ABS"	63373025	1010	725	688	447	238	226
SRS6085265	"Enrichment, 21d ABS"	45085767	835	624	583	388	199	189
SRS6085266	"Enrichment, 1d ABS"	41954076	453	314	293	272	157	152
SRS6085267	"Isolation, 1d ABS"	44177399	755	536	494	364	169	161
SRS6085268	"Isolation, 1d ABS"	39936764	525	373	350	267	133	123
SRS6085269	"Isolation, 21d ABS"	33314139	134	108	97	124	90	84
SRS6085270	"Enrichment, 1d ABS"	49986109	591	424	390	352	196	179
SRS6085271	"Enrichment, 21d ABS"	52199617	665	483	443	361	192	174
SRS6085272	"Isolation, 21d ABS"	54460142	462	347	314	320	190	177
