circRNA	circRNA-miRNA Interactions	Target	miRNA-Target Interactions	Number of Common miRNAs	Common miRNAs	P-Value	FDR						
circHomer1	10	Acy1	6	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-212-5p"	2.65E-06	0.00015899						
circArid1a	16	Add2	10	4	"rno-miR-326-3p, rno-miR-330-5p, rno-miR-328a-3p, rno-miR-328b-3p"	0.000285249	0.005718385						
circHomer1	10	Add2	10	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-330-5p"	3.54E-05	0.001182683						
circHomer1	10	Akap6	15	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-143-3p"	0.000216541	0.004640315						
circHomer1	10	Arhgap26	12	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-143-3p"	8.14E-05	0.002197138						
circHomer1	10	Brpf3	11	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-330-5p"	5.49E-05	0.001630301						
circHomer1	10	Cacnb1	8	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-330-5p"	1.21E-05	0.000517685						
circHomer1	10	Cbfa2t3	29	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-212-5p"	0.003175259	0.032717096						
circHomer1	10	Cers6	9	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-760-3p"	2.15E-05	0.000794234						
circHomer1	10	Cntn2	8	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-760-3p"	1.21E-05	0.000517685						
circHomer1	10	Cplx2	22	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-330-5p"	0.001065781	0.015099842						
circHomer1	10	Ctdsp2	15	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-212-5p"	0.000216541	0.004640315						
circHomer1	10	Ei24	7	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-212-5p"	6.11E-06	0.000305995						
circHomer1	10	Elmod1	17	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-143-3p"	0.000368525	0.006870135						
circHomer1	10	Elovl6	18	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-760-3p"	0.000468102	0.008265837						
circHomer1	10	Ephb2	9	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-760-3p"	2.15E-05	0.000794234						
circHomer1	10	Evx2	29	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-143-3p"	0.003175259	0.032717096						
circHomer1	10	Gabra4	10	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-760-3p"	3.54E-05	0.001182683						
circHomer1	10	Grin2b	28	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-330-5p"	0.002771294	0.029383149						
circHomer1	10	Hnf4a	7	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-330-5p"	6.11E-06	0.000305995						
circHomer1	10	Hnrnpa1	24	5	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-330-5p, rno-miR-760-3p"	9.31E-05	0.002462509						
circArid1a	16	Itga5	8	4	"rno-miR-326-3p, rno-miR-330-5p, rno-miR-328a-3p, rno-miR-328b-3p"	9.98E-05	0.002582262						
circHomer1	10	Kctd16	10	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-212-5p"	3.54E-05	0.001182683						
circHomer1	10	Kitl	16	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-212-5p"	0.000285249	0.005718385						
circHomer1	10	Ldoc1l	7	4	"rno-miR-34a-5p, rno-miR-449a-5p, rno-miR-449c-5p, rno-miR-760-3p"	6.11E-06	0.000305995						
