Human Gene Symbol	Human Gene ID	Mouse Gene ID	Rat Gene ID	Datasets	Direction
AGK	ENSG00000006530	ENSMUSG00000029916	ENSRNOG00000011509	"Carpenter, Powell"	Down
AMZ1	ENSG00000174945	ENSMUSG00000050022	ENSRNOG00000024264	"Carpenter, Walker"	Up
B2M	ENSG00000166710	ENSMUSG00000060802	ENSRNOG00000017123	"Carpenter, Powell"	Up
BCAS1	ENSG00000064787	ENSMUSG00000013523	ENSRNOG00000012906	"Carpenter, Powell"	Up
BTG1	ENSG00000133639	ENSMUSG00000036478	ENSRNOG00000004284	"Carpenter, Walker"	Down
CACYBP	ENSG00000116161	ENSMUSG00000014226	ENSRNOG00000002572	"Carpenter, Walker"	Down
CARTPT	ENSG00000164326	ENSMUSG00000021647	ENSRNOG00000017712	"Carpenter, Walker"	Down
CCDC88C	ENSG00000015133	ENSMUSG00000021182	ENSRNOG00000004482	"Carpenter, Walker"	Up
CELF6	ENSG00000140488	ENSMUSG00000032297	ENSRNOG00000052224	"Carpenter, Powell"	Down
EGR2	ENSG00000122877	ENSMUSG00000037868	ENSRNOG00000000640	"Walker, Powell"	Down
FABP7	ENSG00000164434	ENSMUSG00000019874	ENSRNOG00000000814	"Carpenter, Walker"	Down
FKBP4	ENSG00000004478	ENSMUSG00000030357	ENSRNOG00000006444	"Carpenter, Powell"	Down
FTH1^	ENSG00000167996	ENSMUSG00000024661	ENSRNOG00000022619^	"Carpenter, Powell"	Up
GPD1	ENSG00000167588	ENSMUSG00000023019	ENSRNOG00000056457	"Carpenter, Powell"	Up
GUCY1A1	ENSG00000164116	ENSMUSG00000033910	ENSRNOG00000012302	"Carpenter, Powell"	Down
HAPLN2	ENSG00000132702	ENSMUSG00000004894	ENSRNOG00000018870	"Carpenter, Powell"	Up
HSPA8	ENSG00000109971	ENSMUSG00000015656	"ENSRNOG00000034066, ENSRNOG00000030228"	"Carpenter, Walker"	Down
IRS2	ENSG00000185950	ENSMUSG00000038894	ENSRNOG00000023509	"Carpenter, Powell"	Down
KIF5A	ENSG00000155980	ENSMUSG00000074657	ENSRNOG00000005299	"Carpenter, Powell"	Up
LYPD1	ENSG00000150551	ENSMUSG00000026344	ENSRNOG00000003453	"Carpenter, Powell"	Down
MBP	ENSG00000197971	ENSMUSG00000041607	ENSRNOG00000016516	"Carpenter, Powell"	Up
MOBP	ENSG00000168314	ENSMUSG00000032517	ENSRNOG00000018700	"Carpenter, Powell"	Up
NTS	ENSG00000133636	ENSMUSG00000019890	ENSRNOG00000004179	"Carpenter, Powell"	Down
PHLDA1	ENSG00000139289	ENSMUSG00000020205	ENSRNOG00000004019	"Carpenter, Walker"	Down
PITPNM3	ENSG00000091622	ENSMUSG00000040543	ENSRNOG00000008323	"Carpenter, Walker"	Up
RGS5	ENSG00000143248	ENSMUSG00000026678	ENSRNOG00000002730	"Carpenter, Powell"	Up
RPS6KA2	ENSG00000071242	ENSMUSG00000023809	ENSRNOG00000013194	"Carpenter, Powell"	Down
SOX17	ENSG00000164736	ENSMUSG00000025902	ENSRNOG00000027357	"Carpenter, Powell"	Up
TIPARP	ENSG00000163659	ENSMUSG00000034640	ENSRNOG00000011238	"Walker, Powell"	Down
TTLL1	ENSG00000100271	ENSMUSG00000022442	ENSRNOG00000010141	"Carpenter, Powell"	Down
USP46	ENSG00000109189	ENSMUSG00000054814	ENSRNOG00000002106	"Carpenter, Powell"	Down
VIM	ENSG00000026025	ENSMUSG00000026728	ENSRNOG00000018087	"Walker, Powell"	Down
