Original Gene ID	Gene Name	Chr	Start	End	Strand	Length	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000021250	Fos	12	85520664	85524047	+	3384	-0.7858	4.8300	-6.882614348	3.97762E-05	0.395693257	-2.158291871
ENSMUSG00000020423	Btg2	1	134002908	134006858	-	3951	-0.5626	4.2769	-4.611398863	0.000926469	0.980572306	-2.905009952
ENSMUSG00000022528	Hes1	16	29883202	29886614	+	3413	-0.6284	1.5604	-3.847440906	0.003138987	0.980572306	-3.955515297
ENSMUSG00000078601		3	108268867	108269572	+	706	-1.0127	-1.4347	-3.84369346	0.00315842	0.980572306	-4.347309485
ENSMUSG00000101249	Gm29216	1	24654787	24655278	-	492	-1.2162	0.8547	-3.789280961	0.003455166	0.980572306	-4.090558801
ENSMUSG00000022769	Sdf2l1	16	16948002	16950247	-	2246	-0.6161	3.8656	-3.58164761	0.0048823	0.980572306	-3.415130661
ENSMUSG00000040435	Ppp1r15a	7	45172340	45175692	-	3353	-0.4278	3.8906	-3.445580839	0.006138857	0.980572306	-3.473008003
ENSMUSG00000039910	Cited2	10	17598966	17601422	+	2457	-0.4388	5.4388	-3.334774278	0.007406944	0.980572306	-3.235215481
ENSMUSG00000056116	H2-T22	17	36348020	36353639	-	5620	-0.2612	4.0897	-3.308229237	0.007748955	0.980572306	-3.477781251
ENSMUSG00000056749		13	53121245	53135109	-	13865	-0.3888	3.1503	-3.30416982	0.007802671	0.980572306	-3.718702136
ENSMUSG00000043671	Dpy19l3	7	35384590	35453879	-	69290	0.3418	7.5365	3.30416552	0.007802728	0.980572306	-3.339052094
ENSMUSG00000021367	Edn1	13	42454952	42461466	+	6515	-0.7145	1.6709	-3.272761664	0.008231421	0.980572306	-4.041984012
ENSMUSG00000107553	Gm44266	6	138577840	138578339	+	500	1.3114	-2.3070	3.263694471	0.008359642	0.980572306	-4.422012695
ENSMUSG00000061232	H2-K1	17	34214991	34219321	-	4331	-0.5265	4.3491	-3.234188527	0.008791252	0.980572306	-3.448854357
ENSMUSG00000032575	Manf	9	106715511	106769178	-	53668	-0.3287	5.8333	-3.185076274	0.009560962	0.980572306	-3.311235393
ENSMUSG00000044562	Rasip1	7	45276912	45288517	+	11606	-0.4721	3.1740	-3.184548801	0.009569593	0.980572306	-3.752342088
ENSMUSG00000100396	Gm29367	4	141603018	141604344	+	1327	-0.6358	-0.0107	-3.12843622	0.010534802	0.980572306	-4.291836562
ENSMUSG00000032308	Ulk3	9	57496735	57503516	+	6782	0.2467	4.8698	3.106728233	0.010934377	0.980572306	-3.4170806
ENSMUSG00000067279	Ppp1r3c	19	36709131	36714053	-	4923	-0.3005	5.7069	-3.098150703	0.011096492	0.980572306	-3.366274938
ENSMUSG00000020846	Rflnb	11	75910020	75918608	-	8589	-0.4660	3.2673	-3.085254221	0.01134486	0.980572306	-3.76821916
ENSMUSG00000064357	mt-Atp6	MT	7927	8607	+	681	-1.0062	-0.0701	-3.077754514	0.01149189	0.980572306	-4.295937321
ENSMUSG00000066510	Ankdd1a	9	65395752	65427475	-	31724	0.4089	4.2704	3.075969154	0.011527177	0.980572306	-3.549900561
ENSMUSG00000063632	Sox11	12	27384263	27392573	-	8311	-0.2740	5.3476	-3.075398456	0.01153848	0.980572306	-3.391142466
