circRNA	miRNA	Binding Sites	Match Score	Free Energy	miRNA Alignment Start	miRNA Alignment End	circRNA Alignment Start	circRNA Alignment End	Alignment Length	circRNA-miRNA % Identity	miRNA-circRNA % Identity	Expression Filter	miRNA Conserved with Mouse	miRNA Conserved with Human
circArid1a	rno-miR-1199-5p	2	144	-33.28	2	18	161	181	17	70.59%	88.24%	Fail; Not in either dataset	Yes	No
circArid1a	rno-miR-1199-5p	2	152	-20.37	2	19	367	388	19	73.68%	78.95%	Fail; Not in either dataset	Yes	No
circArid1a	rno-miR-1224	2	153	-20.83	2	18	274	294	16	75.00%	75.00%	Pass	Yes	Yes
circArid1a	rno-miR-1224	2	151	-29.76	3	20	389	409	17	76.47%	88.24%	Pass	Yes	Yes
circMapkap1	rno-miR-134-3p	1	150	-23.8	2	11	43	64	9	100.00%	100.00%	Pass	Yes	Yes
circHomer1	rno-miR-143-3p	2	152	-13.39	2	19	264	284	17	76.47%	76.47%	Pass	Yes	Yes
circHomer1	rno-miR-143-3p	2	144	-17.97	2	21	86	107	19	68.42%	89.47%	Pass	Yes	Yes
circHomer1	rno-miR-145-3p	2	156	-20.42	2	19	364	388	21	76.19%	76.19%	Pass	No	Yes
circHomer1	rno-miR-145-3p	2	143	-17.78	2	20	293	313	18	66.67%	77.78%	Pass	No	Yes
circHomer1	rno-miR-149-5p	1	159	-20.4	2	22	474	495	20	70.00%	80.00%	Fail; Not in either dataset	Yes	Yes
circHomer1	rno-miR-151-3p	2	156	-21.14	2	17	126	146	15	80.00%	80.00%	Pass	Yes	Yes
circHomer1	rno-miR-151-3p	2	144	-21.41	3	18	389	411	17	76.47%	88.24%	Pass	Yes	Yes
circMapkap1	rno-miR-181b-2-3p	1	161	-20.54	2	15	113	135	14	92.86%	92.86%	Fail	Yes	Yes
circArid1a	rno-miR-1843a-5p	3	141	-19.61	2	10	399	419	8	87.50%	100.00%	Pass	Yes	Yes
circArid1a	rno-miR-1843a-5p	3	140	-24.55	2	19	70	89	17	82.35%	88.24%	Pass	Yes	Yes
circArid1a	rno-miR-1843a-5p	3	144	-18.65	3	20	760	780	18	83.33%	83.33%	Pass	Yes	Yes
circArid1a	rno-miR-1843b-5p	2	147	-24.72	3	18	67	88	15	86.67%	93.33%	Fail; Not in either dataset	Yes	No
circArid1a	rno-miR-1843b-5p	2	147	-19.34	2	21	705	728	20	65.00%	70.00%	Fail; Not in either dataset	Yes	No
