Original Gene ID	Gene.Name	Chr	Start	End	Strand	Length	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSRNOG00000060806	Drd3	11	56879689	56940596	-	60908	-1.6432	4.2419	-6.944417291	4.07166E-05	0.144625271	1.975754865
ENSRNOG00000005964	Nr4a3	5	62361822	62402733	+	40912	-1.5422	4.3094	-6.560093388	6.5359E-05	0.154770194	1.679488935
ENSRNOG00000010263	Cldn11	2	112207745	112221050	-	13306	1.2227	5.7254	6.096388318	0.000118608	0.187395556	1.477656878
ENSRNOG00000047505	Tubb4a	9	1917845	1925291	-	7447	1.2569	8.1947	5.868588023	0.000160614	0.187395556	1.127485466
ENSRNOG00000017496	Cnp	10	85511160	85517720	+	6561	1.0822	5.6947	5.705683309	0.000200367	0.187395556	1.024936708
ENSRNOG00000019163	Syt6	2	191093007	191149956	+	56950	-1.1351	5.7153	-5.540684504	0.000251613	0.187395556	0.817136813
ENSRNOG00000070586		1	52400215	52404309	-	4095	1.2100	4.6062	5.602436631	0.000230952	0.187395556	0.809184895
ENSRNOG00000002419	Plp1	X	100185767	100201032	+	15266	1.6009	10.8370	5.916995177	0.000150504	0.187395556	0.808347478
ENSRNOG00000048273	Apod	11	69431260	69452305	+	21046	0.9911	6.3207	5.50678802	0.000263789	0.187395556	0.788012823
ENSRNOG00000002524	Gpr37	4	54138870	54161001	-	22132	1.0248	5.8857	5.249012767	0.00037988	0.219809619	0.462112109
ENSRNOG00000001329	Gjc3	12	16896813	16964246	-	67434	1.1241	4.8608	5.247383625	0.000380768	0.219809619	0.420544049
ENSRNOG00000022386	Opalin	1	239891142	239908788	-	17647	0.9913	5.1992	5.209180849	0.000402242	0.219809619	0.392015247
ENSRNOG00000015445	Mal	3	114864378	114888136	-	23759	1.0043	6.4268	5.127919969	0.000452346	0.220911348	0.305097178
ENSRNOG00000012906	Bcas1	3	159136083	159219106	-	83024	1.0064	6.9485	4.995147265	0.00054911	0.220911348	0.126813297
ENSRNOG00000066027	Necab1	5	28357859	28578642	-	220784	-0.9571	6.9391	-4.940052491	0.000595548	0.220911348	0.052851733
ENSRNOG00000023338	Tspan2	2	190177741	190219660	+	41920	1.0358	7.1388	4.869575543	0.000661142	0.220911348	-0.042967299
ENSRNOG00000062814	Cend1	1	196523920	196528302	-	4383	0.9238	6.6736	4.858774732	0.000671856	0.220911348	-0.051864848
ENSRNOG00000010280	Pde8b	2	26276635	26509209	-	232575	-1.0558	8.4209	-4.886812245	0.000644418	0.220911348	-0.060411566
ENSRNOG00000021472	Ermn	3	42626309	42633744	-	7436	1.0725	7.2578	4.846626077	0.000684129	0.220911348	-0.075539253
ENSRNOG00000028348	Lhx8	2	243244961	243269416	-	24456	1.9561	3.3106	5.097244986	0.000472959	0.220911348	-0.086007529
ENSRNOG00000018700	Mobp	8	119869626	119899563	+	29938	1.1964	9.5511	4.854288837	0.00067636	0.220911348	-0.170249795
ENSRNOG00000006231	Ptpro	4	170164431	170374771	+	210341	-0.9923	7.0566	-4.709162556	0.000840878	0.244195997	-0.258001497
ENSRNOG00000003841	Kcnh1	13	103722245	104024740	+	302496	-0.9009	7.3101	-4.694779679	0.000859361	0.244195997	-0.280263807
ENSRNOG00000018991	Gsn	3	18585172	18638402	+	53231	1.0369	4.4099	4.724595611	0.000821515	0.244195997	-0.283276945
ENSRNOG00000007377	Slit3	10	19571684	20156634	+	584951	-1.0289	8.5178	-4.651919007	0.000917043	0.250564367	-0.3679912
ENSRNOG00000003479	Rnf150	19	25006611	25228678	-	222068	-0.9581	8.2647	-4.62440983	0.000956221	0.251592359	-0.395245546
ENSRNOG00000050104	Clip3	1	85547206	85563184	+	15979	0.9256	7.1485	4.585484513	0.001014721	0.257449162	-0.427146699
ENSRNOG00000004089	Enpp2	7	86202350	86324827	-	122478	1.0040	6.9881	4.519360664	0.00112297	0.269645463	-0.518262829
ENSRNOG00000008364	Cat	3	89842399	89874478	-	32080	0.8581	5.2240	4.466069306	0.001219106	0.270641567	-0.59313715
ENSRNOG00000004179	Nts	7	37564533	37574423	-	9891	-1.1197	4.5824	-4.4842887	0.001185293	0.270641567	-0.593802094
ENSRNOG00000008716	Nefh	14	79830362	79840351	-	9990	1.2706	3.4472	4.510314379	0.001138706	0.269645463	-0.694394321
ENSRNOG00000014302	Dlgap3	5	139492947	139562625	+	69679	-0.7944	6.0265	-4.374385881	0.001405463	0.289052091	-0.722477303
ENSRNOG00000016516	Mbp	18	75855878	75966404	+	110527	0.9951	9.1883	4.397089351	0.001356669	0.289052091	-0.728975152
ENSRNOG00000019533	Klhl3	17	6521912	6642154	+	120243	-0.9460	5.8079	-4.335606839	0.001493147	0.289052091	-0.777485033
ENSRNOG00000007393	Ndrg1	7	98684487	98725880	-	41394	0.8679	4.8326	4.330346249	0.00150548	0.289052091	-0.788016154
ENSRNOG00000009345	Ugt8	2	214264483	214332660	-	68178	0.8692	6.4879	4.293472536	0.001595004	0.290783218	-0.838492733
ENSRNOG00000007869	Wscd1	10	56395874	56424677	+	28804	0.8298	5.0345	4.284976431	0.001616418	0.290783218	-0.849368752
ENSRNOG00000021023	Mag	1	86148228	86163656	-	15429	1.0126	4.3456	4.247139534	0.001715533	0.290783218	-0.919604069
ENSRNOG00000066993		5	82527980	82532797	+	4818	-1.3369	3.1348	-4.361191744	0.00143467	0.289052091	-0.953174312
ENSRNOG00000018950	Fa2h	19	39312906	39364153	-	51248	0.9244	4.6885	4.2082799	0.001824027	0.290783218	-0.962020662
ENSRNOG00000006200	St18	5	12584110	12671790	-	87681	0.8823	5.8396	4.189735291	0.00187833	0.290783218	-0.987924262
ENSRNOG00000000886	Caln1	12	25819628	26303344	-	483717	-0.9774	8.8832	-4.188204865	0.001882887	0.290783218	-1.001325081
ENSRNOG00000030880	Hs6st2	X	130968385	131261492	-	293108	-0.8036	7.5809	-4.140296578	0.002031589	0.297302921	-1.055854678
ENSRNOG00000024693	Zfp831	3	163438006	163509095	+	71090	-0.7979	5.0886	-4.107500201	0.002140479	0.297302921	-1.103097039
ENSRNOG00000069181		15	7963142	7967231	-	4090	-1.2756	3.1833	-4.210861617	0.001816599	0.290783218	-1.117926431
ENSRNOG00000020393	Rhog	1	156615349	156631257	-	15909	1.0109	3.8435	4.120626262	0.002096179	0.297302921	-1.127002853
